,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
1,Golden State Warriors,82,67,15,3956,113.2,101.1,12.1,70.5,2.06,21.4,22.8,74.9,50.5,14.4,56.3,59.7,102.24,57.9
2,San Antonio Spurs,82,61,21,3961,108.8,100.9,7.9,60.6,1.77,18.2,24,77.6,51.4,13.9,52.4,56.4,96.41,55.1
3,Houston Rockets,82,55,27,3956,111.8,106.4,5.4,62.6,1.67,18.1,24.6,75.8,50.2,14.7,54.5,58.3,102.54,51.6
4,Boston Celtics,82,53,29,3951,108.6,105.5,3.1,65.3,1.9,18.9,21.2,75.3,48.5,13.3,52.5,56.7,99.32,51.4
5,Utah Jazz,82,51,31,3951,107.4,102.7,4.7,54.4,1.48,16.3,23.2,78.9,51.8,14.5,52.6,56.3,93.62,53.4
5,Toronto Raptors,82,51,31,3956,109.8,104.9,4.9,47.2,1.46,14.6,25,76.3,50.7,13,51.7,56.1,97.11,51.6
5,Cleveland Cavaliers,82,51,31,3976,110.9,108,2.9,56.7,1.66,17.2,21.9,75.8,49.7,13.7,54.7,58,98.38,51
5,LA Clippers,82,51,31,3951,110.3,105.8,4.5,57,1.74,17.3,21.5,76.9,49.9,13.1,53.7,57.4,98.22,52.7
9,Washington Wizards,82,49,33,3971,108.5,106.9,1.6,57.7,1.68,17.7,24.1,75.5,49.9,14.1,52.8,56.4,99.68,51.1
10,Oklahoma City Thunder,82,47,35,3961,105,105.1,-0.2,53.2,1.4,15.6,27.9,79,53.4,14.8,50,54,100.47,49.9
11,Memphis Grizzlies,82,43,39,3981,104.7,104.5,0.1,58.4,1.65,16.6,24.8,77.5,50.4,13.5,49.1,53.5,94.74,50.1
11,Atlanta Hawks,82,43,39,3976,102.3,103.1,-0.8,62.1,1.5,17.5,23.6,76.1,50.3,15.7,50.4,54.1,99.83,50.6
13,Indiana Pacers,82,42,40,3971,106.2,106.3,-0.1,57.2,1.63,17.2,21.2,75.5,48.7,13.9,51.6,55.8,98.15,50.5
13,Milwaukee Bucks,82,42,40,3956,106.9,106.4,0.5,62.4,1.73,18.6,21.5,75.4,48.8,14.4,52.7,56.5,96.73,50.4
15,Chicago Bulls,82,41,41,3956,104.6,104.5,0.1,58.4,1.66,17,27,76.8,51.7,13.8,48.7,53,97.72,50.4
15,Portland Trail Blazers,82,41,41,3986,107.8,107.8,0,53.4,1.54,16.1,23,76.8,49.8,13.7,52,55.9,99.08,49.3
15,Miami Heat,82,41,41,3956,105.2,104.1,1,54.4,1.58,16.3,24.2,76.4,50,13.7,51.2,54.1,97.59,50
18,Denver Nuggets,82,40,42,3951,110,110.5,-0.5,61.5,1.69,18.3,27.3,78.7,53.2,14.7,53,56.8,100.7,50.3
19,Detroit Pistons,82,37,45,3961,103.3,105.3,-2,53,1.78,16.2,24.1,81.2,51.6,12.1,49.2,52.1,97.09,48.2
20,Charlotte Hornets,82,36,46,3966,106.4,106.1,0.3,61.1,2.01,17.7,19.9,79.6,49.5,11.7,50.1,54.7,97.85,50.5
21,New Orleans Pelicans,82,34,48,3981,103.3,104.9,-1.6,58.2,1.77,17.2,18.5,76.8,47.5,12.7,50.4,53.9,100.09,49.3
22,Dallas Mavericks,82,33,49,3956,103.7,106.3,-2.6,57.4,1.75,16.9,18.1,77.6,46.4,12.6,50.5,54.1,94.16,47.9
23,Sacramento Kings,82,32,50,3976,104.6,109.1,-4.5,59.4,1.54,17.4,21,76.3,48.9,14.9,51.6,55.6,97.06,47.8
24,Minnesota Timberwolves,82,31,51,3961,108.1,109.1,-1,60,1.69,17.8,27.2,75.9,51.2,14.4,51.1,55.5,97.11,50.1
24,New York Knicks,82,31,51,3971,104.7,108.7,-4.1,55.1,1.57,16.3,26.6,74.1,50.3,13.9,49.6,53.4,98.63,48.2
26,Orlando Magic,82,29,53,3961,101.2,108,-6.8,58,1.67,16.8,21.6,77.4,48.7,13.3,48.9,52.4,99.11,46
27,Philadelphia 76ers,82,28,54,3966,100.7,106.4,-5.7,63.1,1.43,17.6,22.4,75.3,48.8,16.4,50.1,53.9,100.96,47
28,Los Angeles Lakers,82,26,56,3941,103.4,110.6,-7.2,53.2,1.38,15.7,25,75.8,49.5,15,50.1,53.7,100.8,44.6
29,Phoenix Suns,82,24,58,3966,103.9,109.3,-5.4,49.1,1.27,14.5,26,76.4,50.5,14.9,49.3,53.8,102.88,46.2
30,Brooklyn Nets,82,20,62,3951,101.9,108,-6.1,56.6,1.29,16,19.6,76.1,48.2,15.9,50.7,55.1,103.58,46
