Cases(Date),Daily Highest Price($),Daily Lowest Price($),Volume,Rise/Fall,M/T/W/Th/F
11/01/16,113.77,110.53," 43,825,800 ",Fall,Tuesday
11/02/16,112.35,111.23," 28,331,700 ",Rise,Wednesday
11/03/16,111.46,109.55," 26,932,600 ",Fall,Thursday
11/04/16,110.25,108.11," 30,837,000 ",Rise,Friday
11/07/16,110.51,109.46," 32,560,000 ",Rise,Monday
11/08/16,111.72,109.70," 24,054,500 ",Rise,Tuesday
11/09/16,111.32,108.05," 59,176,400 ",Rise,Wednesday
11/10/16,111.09,105.83," 57,134,500 ",Fall,Thursday
11/11/16,108.87,106.55," 34,094,100 ",Rise,Friday
11/14/16,107.81,104.08," 50,872,500 ",Fall,Monday
11/15/16,107.68,106.16," 32,216,900 ",Rise,Tuesday
11/16/16,110.23,106.60," 58,702,500 ",Rise,Wednesday
11/17/16,110.35,108.83," 26,964,600 ",Rise,Thursday
11/18/16,110.54,109.66," 27,404,300 ",Rise,Friday
11/21/16,111.99,110.01," 29,119,100 ",Rise,Monday
11/22/16,112.42,111.40," 25,922,600 ",Fall,Tuesday
11/23/16,111.51,110.33," 27,387,900 ",Fall,Wednesday
11/25/16,111.87,110.95," 11,424,400 ",Rise,Friday
11/28/16,112.47,111.39," 27,026,600 ",Rise,Monday
11/29/16,112.03,110.07," 28,459,300 ",Rise,Tuesday
11/30/16,112.20,110.27," 35,765,000 ",Fall,Wednesday
12/01/16,110.94,109.03," 36,825,800 ",Fall,Thursday
12/02/16,110.09,108.85," 26,409,800 ",Rise,Friday
12/05/16,110.03,108.25," 34,037,300 ",Fall,Monday
12/06/16,110.36,109.19," 26,075,900 ",Rise,Tuesday
12/07/16,111.19,109.16," 29,853,000 ",Rise,Wednesday
12/08/16,112.43,110.60," 26,818,500 ",Rise,Thursday
12/09/16,114.70,112.31," 34,274,100 ",Rise,Friday
12/12/16,115.00,112.49," 26,149,100 ",Rise,Monday
12/13/16,115.92,113.75," 43,167,500 ",Rise,Tuesday
12/14/16,116.20,114.98," 33,433,200 ",Rise,Wednesday
12/15/16,116.73,115.23," 46,232,200 ",Rise,Thursday
12/16/16,116.50,115.65," 44,055,400 ",Fall,Friday
12/19/16,117.38,115.75," 27,675,400 ",Rise,Monday
12/20/16,117.50,116.68," 20,905,800 ",Rise,Tuesday
12/21/16,117.40,116.78," 24,216,900 ",Rise,Wednesday
12/22/16,116.51,115.64," 25,789,800 ",Fall,Thursday
12/23/16,116.52,115.59," 14,181,200 ",Rise,Friday
12/27/16,117.80,116.49," 18,071,900 ",Rise,Tuesday
12/28/16,118.02,116.20," 20,582,000 ",Fall,Wednesday
12/29/16,117.11,116.40," 14,963,300 ",Rise,Thursday
12/30/16,117.20,115.43," 30,253,100 ",Fall,Friday
,,,,,
